street,link,name,area,price,rooms
"Wola, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-dwupokojowe-609162296,,45.0,1700.0,2.0
"Szczęśliwice, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/dom-warszawa-ochota-249m2-nr-1218-609161741,,249.0,5800.0,5.0
"Władysława Okińskiego, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/przytulna-kawalerka-idealna-dla-pary-lub-singla-609162837,,23.0,1300.0,1.0
"Radomska 22, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/piekne-dwupokojowe-mieszkanie-na-bliskiej-ochocie-ul-radomska-609151114,,48.0,2900.0,2.0
"Ochota, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/szukam-pokoju-609145719,,40.0,750.0,2.0
"Maszynowa 12, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/3-pokojowe-72m2-ul-maszynowa-przy-wlodarzewskiej-609151383,,72.0,2400.0,3.0
"Maszynowa 12, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/2-pokojowe-50m2-ul-maszynowa-przy-wlodarzewskiej-szczesliwice-609151898,,50.0,1800.0,2.0
"Daleka, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/jednopokojowe-mieszkanie-na-ochocie-609135221,,37.0,1100.0,1.0
"Władysława Okińskiego, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-okinskiego-1-pok-22-m-609153531,,22.0,1300.0,1.0
"Walentego Majewskiego Skorochód, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-majewskiego-1-pok-28-m-609153236,,28.0,1300.0,1.0
"Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/wynajme-mieszkanie-609151487,,40.0,1500.0,2.0
"Ochota, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/bezposrednio-swietna-lokalizacja-cena-juz-uwzglednia-czynsz-609153558,,22.0,1300.0,1.0
"Dickensa, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/do-wynajecia-28-m-ochota-609141105,,28.0,1200.0,1.0
"aleja Niepodległości, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/wynajme-samodzielny-pokoj-12m-al-niepodleglosci-mokotow-609154056,,26.0,900.0,1.0
"Geodetów, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/kawalerka-swietna-cena-i-lokalizacja-609141107,,25.0,1300.0,1.0
"Wacława Sierpińskiego, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-sierpinskiego-1-pok-38-m-609154042,,38.0,1600.0,1.0
"Dunajecka 13, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/kawalerka-do-wynajecia-ochota-dunajecka-609142524,,23.0,1250.0,1.0
"Spiska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/bardzo-ladna-kawalerka-na-ochocie-609143981,,20.0,1300.0,1.0
Ochota,http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/kawalerka-na-grojeckiej-do-wynajecia-od-1-wrzesnia-609145792,,23.0,1450.0,1.0
"Spiska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/2-pokoje-na-ochocie-609144776,,50.0,2500.0,2.0
"Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/kawalerka-na-ochocie-w-domku-oddzielne-wejscie-609145895,,22.0,750.0,1.0
"Włodarzewska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/fajne-mieszkanie-w-suterenie-43-m2-609146017,,43.0,1500.0,1.0
